REVIEW_TITLE|SCORE|ROLE|PROS|CONS|DATE|STATUS|LOCATION|tiempoCategoria|categoriaStatus
Empresa|5|Especialista en Infraestructura|Muy buena empresa, buen ambiente laboral|Empresa enorme que luego es difícil cambiar puesto|2023-08-22|Current Employee|Guadalajara, Jalisco|Desconocida|Empleado
Un gran lugar para trabajar, aunque las opciones se están reduciendo|4|Asesor de Controles Empresariales|Ambiente multicultural, internacional, flexibilidad de horario, plataforma de aprendizaje con miles de opciones gratis y en línea, diversidad e inclusión.|La estrategia de la empresa está generando recortes que están adelgazando la estructura organizacional demasiado, los roles locales, a nivel país están desapareciendo.|2023-06-07|Former Employee|Unknown|Desconocida|Exempleado
Analista contable|5|Analista Contable|Gran ambiente laboral y modalidad|Ninguna desventaja encuentro yo como empleado|2023-08-22|Current Employee, More Than 3 Years|Unknown|3|Empleado
Buena|4|Desarrollador de software|Opción de teletrabajo y promoción|Jornadas con horarios cambiantes y poco flexibles|2023-08-24|Current Employee|Unknown|Desconocida|Empleado
buen lugar|3|Soporte de TI|cuenta con transporte de personal|el comedor ya no tiene variedad|2023-08-25|Former Employee|Guadalajara, Jalisco|Desconocida|Exempleado
Buena experiencia|5|pasantia|Incluye servicio de transporte Exelente ambiente laboral|No te dan sufiente informacion del area cuando aplicas|2023-08-13|Current Employee|Unknown|Desconocida|Empleado
QA IBM|3|Probador de control de calidad|muchos cursos y la experiencia de trabajar en una empresa grande|demasiados cursos obligatorios y protocolos burocráticos no te permiten trabajar tranquilo y el software es viejo|2023-07-30|Current Employee|Buenos Aires|Desconocida|Empleado
No es una buena empresa para trabajar|2|Analista de AP junior|arreglos para trabajar la mayoría de días remoto.|Nos hicieron trabajar 8 horas extra por semana por 6 meses. El sueldo era mediocre. Te tratan como un numero, no les importa perder empleados.|2023-06-21|Former Employee, More Than 1 Year|Buenos Aires|1|Empleado
Opinión|3|Analista De Compras|Permite el Teletrabajo y hay buen ambiente de trabajo|Las jornadas de trabajo son interminables,|2023-08-18|Former Employee|Unknown|Desconocida|Exempleado
Buena empresa|5|Desarrollador ETL|Tienes vales de despensa, seguro de vida, de gastos médicos mayores y menores, fondo de ahorro y fondo de jubilación.|Ya empezaron a sustituir a su fuerza de trabajo por inteligencia artificial.|2023-07-20|Former Employee|Unknown|Desconocida|Exempleado
Experiencia|5|Desarrollador de aplicaciones|Siempre te estan capacitando a las nuevas tecnologias un ambiente laboral muy cordial|no veo muchas desventajas al trabajar aquí|2023-08-07|Current Employee, More Than 1 Year|Ciudad De Mexico|1|Empleado
Desarrollador IBM BPM|4|Desarrollador De Software|Es una empresa solida con una gran cantidad de proyectos, sin embargo, es difícil escalar a un mejor puesto.|Los sueldos no son los mas altos en el mercado y si no estas dentro de proyectos internos de IBM y por otro lado estas en IBM como consultora, incluso las prestaciones bajan y como cualquier consultora, las condiciones dependerán del cliente.|2023-06-07|Former Employee, More Than 1 Year|Ciudad De Mexico|1|Empleado
Desarrollador IBM BPM|4|Desarrollador De Software|Es una empresa solida con una gran cantidad de proyectos, sin embargo, es difícil escalar a un mejor puesto.|Los sueldos no son los mas altos en el mercado y si no estas dentro de proyectos internos de IBM y por otro lado estas en IBM como consultora, incluso las prestaciones bajan y como cualquier consultora, las condiciones dependerán del cliente.|2023-06-07|Former Employee, More Than 1 Year|Ciudad De Mexico|1|Empleado
Buena compañía para trabajar|4|Líder de pruebas de software|Muchas oportunidades de aprendizaje, buena colaboración con los equipos, un ambiente innovador y estimulante para las personas técnicas con muchas oportunidades de crecimiento.|No hay mucho presupuesto para reuniones, fiestas, viajes etc. las oficinas requieren mantenimeinto.|2023-07-12|Current Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Buen sueldo, poco crecimiento|4|Automatización de control de calidad|Tiene muchos beneficios, obra social, udemy free, servicios de niñera pagos|Como qa automation hay poco crecimiento laboral, hay pocos equipos con enfoque para automation|2023-07-27|Current Employee, More Than 1 Year|Santa Fe|1|Empleado
Buena compania para laboral durante mucho tiempo, pero sin crecimiento|3|Analista financiero|IBM ofrece una cultura con un buen balance vida/trabajo|No hay aumentos de salario El site en Costa Rica perdio relevancia para la corporacion|2023-07-21|Former Employee, More Than 8 Years|Heredia|8|Empleado
IBM Consulting|5|Consultor Asociado|Gran empresa para crecer en tus primeros años e incluso para hacer carrera. Estándares de calidad del trabajo muy altos. Muchísima formación. Conciliación aceptable para ser consultoría.|Las propias de consultoría, muchísima dependencia completa de cliente para la gestión de proyectos y carga de trabajo|2023-06-28|Current Employee, Less Than 1 Year|Madrid|0|Empleado
Excelente lugar para trabajar y crecer|5|Empleado anónimo|Excelente ambiente Hay muchas oportunidades para crecer y cambiar entre áreas. Facilidades para certificiones y cursos. Sueldo 100% nómina. Hay mucha flexibilidad en horario y ubicaciones, pero puede cambiar según el proyecto. Muchas prestaciones superiores.|A veces pareciera que es difícil salir del bench y que los externos tienen preferencia para ingresar a proyecto. Algunos proyectos pueden ser aburridos. Algunos procesos son muy burocráticos. Los aumentos de salario no incrementan mucho una vez dentro|2023-04-04|Current Employee, More Than 3 Years|Ciudad De Mexico|3|Empleado
Salesforce developer|4|Desarrollador de Salesforce|-Arman plan de carrera -Posibilidad de cambiar de area -La seguridad que te da trabajar en una miltinacional -Buen ambiente laboral|-Sueldo muy poco competitivo -Mucha burocracia -Comopañeros pocos cualificados al haber mucho trainee|2023-07-12|Former Employee|Buenos Aires|Desconocida|Exempleado
Buena experiencia|4|LÍDER DE TRANSFORMACIÓN DE TI|Desarrollo Profesional, Renombre, Trabajo remoto y en sitio.|Algunos de los empleados de Estados Unidos discriminan al talento de otros países. Las promociones y aumentos de sueldo son burocráticos y los sueldos son bajos.|2023-05-17|Former Employee|Unknown|Desconocida|Exempleado
Excelentes prestaciones|5|Desarrollador De Software|Home office para casi todos los proyectos|El fondo de ahorro podría ser un poco más en porcentaje|2023-08-01|Former Employee|Unknown|Desconocida|Exempleado
Buena empresa|5|Programador FullStack|Buenas prestaciones y plan de retiro|Mucha burocracia entre los distintos departamentos|2023-08-09|Former Employee, More Than 3 Years|Guadalajara, Jalisco|3|Empleado
Buena empresa|3|ingeniero de software|Tiene buenas prestaciones y es una empresa internacional respetable.|El ambiente que me toco vivir no era muy bueno, no motivan los proyectos y los sueldos son competitivos pero bajos casi siempre.|2023-07-14|Former Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Desarrollador de soluciones en IBM Cloud|4|Desarrollador estudiantil|- Ambiente relajado - Disponibilidad de un gran número de recursos de aprendizaje - Posibilidad de trabajar en proyectos interesantes|- Bajo salario - Algunas tecnologías usadas son muy de nicho y no tienen tanta relevancia en la industria|2023-06-25|Former Employee, Less Than 1 Year|Montevideo|0|Empleado
Excelente empresa|5|Especialista en Recursos Humanos|acompañamiento, ambiente laboral, crecimiento, sueldo|Site complicado de llegar, crecimiento lento|2023-08-09|Former Employee, More Than 1 Year|Ciudad De Mexico|1|Empleado
Opinión ex-empleado|3|Gerente de proyecto|Una gran empresa que te dará puntos en tu Cv|Ascensos muy difíciles o imposibles. Todo funciona por tener los 'padrinos' adecuados. Los sueldos no son los competitivos. Puedes trabajar muchísimas horas sin llegar a compensarse de ninguna forma. La jornada laboral del verano es difícil que la llegues a disfrutar.|2023-06-13|Former Employee, More Than 10 Years|Madrid|10|Empleado
Buen lugar para trabajar|5|Ingeniero de software|Excelente lugar para trabajar Cuenta con muchos cursos para seguirse preparando profesionalmente Los beneficios son bastantes buenos Hasta el momento, me ha tocado trabajar con managers que son de gran ayuda y se preocupan por el crecimiento individual de uno|A veces se ponen insistentes para que cumplas con certificaciones en las que no estás interesado.|2023-05-29|Current Employee|Unknown|Desconocida|Empleado
Buena empresa inicial|4|Ensayador|Tienes muchas prestaciones, hasta seguro dental|Cuando el proyecto se termina o no tienen horas para ti te mueven sin más. Dan prioridad a cubrir horas de sus PM que no hacen nada|2023-07-05|Current Employee|Unknown|Desconocida|Empleado
Esta bien|5|Especialista en pruebas|Buenas prepaga, buena capacitación, sueldo.|Algunos clientes son nefastos, si no fuera por eso es una empresa excelente|2023-07-26|Current Employee, More Than 1 Year|Buenos Aires|1|Empleado
Muy buena empresa|5|Administrador del contrato|En IBM les interesa que las personas crezcan y se desarrollen junto con la empresa. Mucho énfasis en educación y ambiente muy agradable.|Burocracia, empresa muy grande, está muy lejos.|2023-07-07|Current Employee|Unknown|Desconocida|Empleado
Tester QA|5|Probador de control de calidad|Muy buen clima laboral muy buena comunicación|Puede ser el sueldo en algunos casos|2023-07-30|Current Employee, Less Than 1 Year|Buenos Aires|0|Empleado
na|4|Líder de pruebas de control de calidad.|empresa grande, te mueven de proyecto de acuerdo a las necesidades de la organizacion.|"esta lejos, el fondo de ahorro esta reducido al 6%, antes tenia vacaciones superiores a la ley pero con la nueva reforma solo hicieron un ""cambio de cultura"""|2023-06-16|Current Employee|Unknown|Desconocida|Empleado
na|4|Líder de pruebas de control de calidad|empresa grande, te mueven de proyecto de acuerdo a las necesidades de la organizacion.|"esta lejos, el fondo de ahorro esta reducido al 6%, antes tenia vacaciones superiores a la ley pero con la nueva reforma solo hicieron un ""cambio de cultura"""|2023-06-16|Current Employee|Unknown|Desconocida|Empleado
Empresa Corporativa|4|Ingeniero de nubes|Beneficios corporativos. Beneficios corporativos.Beneficios corporativos|Incrementos de sueldos. Incrementos de sueldos. Incrementos de sueldos|2023-08-01|Former Employee|Unknown|Desconocida|Exempleado
Buena empresa en términos generales|4|Analista Financiero Senior|Es una empresa con una gran historia y se preocupa en general por el desarrollo y bienestar de sus empleados.|Puede llegar a ser muy burocrática y en algunas ocasiones pueden olvidarse del desarrollo del empleado.|2023-06-26|Former Employee|Unknown|Desconocida|Exempleado
Evaluacion|5|Gerente de Servicio de Entregas|Muy buen ambiente, cultura, cuidado al empleado|Como consultoría dan preferencia al cliente|2023-08-01|Current Employee, More Than 8 Years|Ciudad De Mexico|8|Empleado
Buena empresa|4|Desarrollador de software|Salario competitivo prestaciones superiores a las de ley|mucho proceso para obtener una promoción|2023-07-27|Current Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Área CEO Excelente ambiente|4|Desarrollador de software|Excelente ambiente laboral, te apoyan a crecer, buenas prestaciones en general|El salario es más bajo que en otras empresas|2023-07-14|Former Employee, Less Than 1 Year|Guadalajara, Jalisco|0|Empleado
buena|4|Asistente Ejecutiva|oportunidades de aprendizaje, la cultura es bastante buena|mucho Micromanagement, se rotan mucho los managers.|2023-07-12|Former Employee|Unknown|Desconocida|Exempleado
Buen ambiente de trabajo|4|directora del programa|Buen ambiente de trabajo, equipos, managers. Si eres una persona constante puedes promocionar facilmente.|Salarios bajos e IBM es una empresa en constante transformaciones internas, por lo que es complicado el que te suban el salario y en los últimos años está habiendo muchos despidos.|2023-06-07|Former Employee, More Than 8 Years|Bratislava|8|Empleado
Buena empresa para recien egresados|5|Ingeniero de control de calidad de software.|Buen ambiente laboral, crecimiento de carrera|aumentos salariales son bajos y poco frecuentes|2023-07-19|Former Employee, More Than 3 Years|Guadalajara, Jalisco|3|Empleado
Excelente Trabajo|5|Socio de adquisición de talento|Trabajo Remoto, mas de 12 dias de vacaciones al a;o.|Servicio de Soporte de IT|2023-07-21|Former Employee, More Than 5 Years|Monterrey, Nuevo León|5|Empleado
Experiencia como un Senior Techlead en IBM|4|Líder tecnológico sénior|Proyectos retadores y apertura a nuevas tecnologías|Mala comunicación de management con la parte técnica|2023-06-20|Current Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
no lo recomiendo esta empresa, a menos que seas conformista|1|Operador De Manufactura|excelente horario laboral, te permite trabajar y estudiar|si no eres amigo o familia de los encargados, no tienes oportunidad de subir de puesto.|2023-08-12|Current Employee, More Than 5 Years|El Salto, Jalisco|5|Empleado
P|3|Pasantia|Buena tecnologia, buena gente, buenas instalaciones, bueno todo|No tengo desventajas en la empresa|2023-07-26|Former Employee, Less Than 1 Year|Unknown|0|Empleado
Excelente escuela.|4|jefe de equipo|Excelente lugar para aprender y profesionalizarse.|Dificil crecer por mérito únicamente.|2023-07-27|Current Employee|Unknown|Desconocida|Empleado
excelente|5|Desarrollador de software|18 dias de vacaciones, sueldo competente, flexibilidad y trabajo remoto|Poco movimiento para subir de puesto|2023-07-17|Former Employee|Unknown|Desconocida|Exempleado
Buen Sueldo|5|Ingeniero de Big Data|Buen ambiente laboral, crecimiento rapido, no tienes que cazar proyectos siempre y cuando estes en un buen departamento|Oficinas antiguas, apenas estan remodelando, esquema hibrido campus algo viejo|2023-06-30|Current Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Excelente empresa|5|Maestro de scrum|Buen ambiente, retos todos los días. Salarios justos. Personas muy humanas y preparadas|A veces a carga de trabajo es muy intensa.|2023-07-04|Current Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Senior Project Manager|3|Gerente Sénior de Proyectos|Capacitacion, trabajo global, estabilidad de la empresa|Crecimiento en base a amistades no a desempeño|2023-07-14|Former Employee, More Than 8 Years|El Salto, Jalisco|8|Empleado
Excelente lugar para trabajar|4|ingeniero de software|Mucha flexibilidad y apoyo para los empleados|Falta organización en algunos de los equipos|2023-07-12|Current Employee|Unknown|Desconocida|Empleado
Ibm no es como parece|2|Desarrollador de software|Buenas prestaciones, salario aceptable y trabajo de lunes a viernes|Mal ambiente laboral, mucho personal sin experiencia en cargos de liderazgo, no hay un ambiente propicio para el desarrollo laboral, no proporcionan información suficiente para desarrollar las actividades asignadas ni tienes apoyo de gerencia o managers ya que hay mucho favoritismo, no les interesa tu salud mental ni física, asignación de tareas de complejidades altas para desarrolladores Jr|2023-04-21|Current Employee, More Than 1 Year|Unknown|1|Empleado
General|4|Analista Contable|Buena prepaga , dias flexibles , buen ambiente, pago de internet|No paga comedor en sala , no tiene muchos aumentos mas que los de acuerdo de sindicato|2023-06-25|Former Employee, Less Than 1 Year|Buenos Aires|0|Empleado
Buena escuela|4|Desarrollador de aplicaciones|Trabajo estable, entrenamiento y capacitación de muy buena calidad, aprendes mucho y tienen buenas prestaciones|Creo que la experiencia en IBM depende mucho del cliente para el que trabajes, en mi caso es un cliente muy complicado y las personas que llevan esa cuenta del lado de IBM no muestra mucho apoyo y comprensión hacia el trabajador, siempre hay mucha presión y nunca es suficiente el progreso que muestres|2023-04-20|Current Employee|Unknown|Desconocida|Empleado
Mi experiencia en IBM|4|Coordinador de Recursos Humanos|Flexibilidad, diversidad, work at home, learning, buen ambiente de trabajo, innovacion|bajos salarios en realacion al mercado|2023-07-05|Current Employee|Unknown|Desconocida|Empleado
Regular|3|Analista De Cuentas Por Pagar|Cuatro días de Home office,un día predencial.|Sueldos bajos, mala organización de proyectos. Poca posibilidad de crecimiento|2023-07-10|Current Employee|Buenos Aires|Desconocida|Empleado
Lo peor|2|Especialista senior en TI|Muy pocas, flexibilidad horaria. Working from home|Te congelan el salario cuando la inflacion anual es mas del 100%. Recursos humanos no existe. No te dan ninguna herramienta para hacer tu trabajo (mouse, headset, mochila para trasladar notebok) etc|2023-05-17|Current Employee|Unknown|Desconocida|Empleado
Evaluacion|4|Director de adquisición de talento|Exc ambiente laboral para desarrollarse|Demasiado estructurada en algunas situaciones que requieren agilidad|2023-07-11|Former Employee|Heredia|Desconocida|Exempleado
Como se trabaja en la empresa|5|Desarrollador Full Stack|Muy buen ambiente de trabajo compania|El ambiente laboral es muy competitivo|2023-07-02|Current Employee|Buenos Aires|Desconocida|Empleado
Sin crecimiento|3|Cable de prueba|Prestaciones adicionales de ley Sueldos acorde al mercado|Pocas oportunidades de crecimiento Sin aumentos Exceso de trabajo|2023-07-03|Former Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Consultor sistemas ibm|5|Consultor|Multinacional gran escala y presencia global|Ajustes salariales en linea con la devaluada economia del pais|2023-06-30|Former Employee, Less Than 1 Year|Buenos Aires|0|Empleado
Un año en IBM|4|Consultor asociado en la nube|El ambiente laboral es agradable.|La compañía no es todo lo precisa que se llama espera en las promociones del programa de associates|2023-06-18|Current Employee, More Than 1 Year|Madrid|1|Empleado
Un año en IBM|4|Consultor asociado en la nube|El ambiente laboral es agradable.|La compañía no es todo lo precisa que se llama espera en las promociones del programa de associates|2023-06-18|Current Employee, More Than 1 Year|Madrid|1|Empleado
Recomendable|5|Desarrollador ETL|Prestaciones, salario, management, plataformas de aprendizaje|No ofrecen home office permanente|2023-07-08|Current Employee|Guadalajara, Jalisco|Desconocida|Empleado
Evaluación del puesto Test Analizer en el área de pruebas perteneciente a Power System|5|Analizador de pruebas|Trabajo generalmente “relajado”, con buen tiempo de comida. Se ofrece capacitación y posibilidad de permanencia, así como cursos de udemy disponibles bajo permanencia.|Mucho ruido, contratos por poco tiempo, aprendizaje de software de único uso por la empresa, muy pocas plantas disponibles y selección del personal para permanencia por favoritismo o contactos.|2023-03-10|Former Employee|Unknown|Desconocida|Exempleado
Muy buena|4|Riesgo y cumplimiento de la gobernanza de TI|Trabajo interesante y retador. Flexibilidad, trabajo hibrido.|Empresa muy grande que a veces no tiene seguimiento adecuado de sus empleados.|2023-06-22|Former Employee|Unknown|Desconocida|Exempleado
Buena empresa, sueldos bajos|4|Desarrollador de aplicaciones|Buena empresa, seguridad laboral y prestaciones|Sueldos bajos, mucha burocracia y managers incompetentes y prepotentes|2023-06-26|Former Employee, More Than 3 Years|Guadalajara, Jalisco|3|Empleado
IBM|4|Consultor|Buenas prestaciones, buen ambiente, etc|Poco crecimiento profesional, Sin aumentos del sueldo|2023-07-04|Current Employee, More Than 3 Years|Ciudad De Mexico|3|Empleado
Gran experiencia|4|Gerente de proyecto|Buenos apoyos y buenos beneficios.|Procesos burocráticos muy tardados que en ocasiones alentan el crecimiento laboral.|2023-06-26|Current Employee, More Than 3 Years|Guadalajara, Jalisco|3|Empleado
Trabajando con rol de System Architect en cliente|2|Profesional de soporte técnico|Libertad para trabajar con el cliente. Proveen un muy buen equipo (Macbook Pro)|Muchísima burocracia interna para cualquier gestión de carrera o cualquier cosa relacionada con HR. Se requiere registrar tareas/horas/vacaciones/etc en múltiples sistemas por separado, donde todo es repetitivo.|2023-04-17|Current Employee, More Than 1 Year|Buenos Aires|1|Empleado
IBM|4|Obtención|trabajo remoto Versatilidad Adaptabilidad Entrenamiento Supervisión|Sueldo Crecimiento Horarios Carga Estres|2023-07-04|Current Employee, More Than 1 Year|Bogota, Cundinamarca|1|Empleado
Promociones sin remuneración|3|Representante de Servicio al Cliente|Buen ambiente de trabajo Buen lugar para empezar un empleo en IT|Si eres buen elemento, se te asignan labores de Senior, QA o Trainer sin compensación económica. Es difícil conseguir un aumento de sueldo. La retroalimentación acerca del desempeño es casi nula.|2023-05-01|Current Employee|Unknown|Desconocida|Empleado
Business advisor|5|Analista de negocios|Seguridad Home office Prestaciones Worklife balance|Crecimiento lento La empresa no ha tenido buenos numero últimamente|2023-06-23|Current Employee, More Than 5 Years|Guadalajara, Jalisco|5|Empleado
Opinión IBM|5|Analista De Precios|Prestaciones laborales, trabajo híbrido, ambiente laboral|Ubicación, recortes personal, burocracia, no hay bonos|2023-06-15|Current Employee|Unknown|Desconocida|Empleado
Burocracia|4|Ingeniero de datos|Seguridad laboral, estabilidad, investigacion, flexibilidad|Demasiado burocratica para poder acompañar la velocidad del mercado|2023-06-28|Former Employee|Unknown|Desconocida|Exempleado
IBM buena empresa|4|Analista De Negocios|Las prestaciones y el ambiente laboral|Despido sin previo aviso y sin dias para buscar trabajo antes, me avisaron 2 dias antes y sin justificacion|2023-06-08|Former Employee|Unknown|Desconocida|Exempleado
Organización|5|Gerente De Recursos Humanos (RH)|Mucho por hacer, se puede innovar|Poca flexibilidad en algunos casos|2023-06-28|Current Employee, More Than 8 Years|Buenos Aires|8|Empleado
IBM|5|Analista de negocios|Muy buenas prestaciones y plataformas de aprendizaje|Ya casi no hay posiciones remotas|2023-06-24|Current Employee, More Than 5 Years|Unknown|5|Empleado
5|4|Analista|Buena empresa en general, buen ambiente laboral|No identifique desventajas relacionadas con el cargo|2023-06-25|Former Employee, Less Than 1 Year|Medellín, Antioquia|0|Empleado
.|3|Gerente sénior de TI|Aprendizaje continuo, oportunidades técnica con otras líneas de negocio|Sobrecarga de trabajo, problemas para crecimiento profesional fuera de service línea y falta de oportunidades fuera de España.|2023-06-06|Former Employee|Unknown|Desconocida|Exempleado
Excelente clima laboral|4|Empleado administrativo|El clima laboral es excelente, todos muy predispuestos a absolutamente casi todo. Buenos beneficios.|Sueldos más competitivos. Mayor flexibilidad de home office|2023-06-09|Current Employee|Unknown|Desconocida|Empleado
Gran empresa, mal management|4|Analista de cuentas por cobrar|La empresa tienen demasiados programas y beneficios para crecimiento laboral y personal. Hay flexibilidad y espacios físicos para laborar muy agusto.|En el área se vive un management con tintes de nepotismo. Actualmente es una red de amigos que apoyan al que le cae bien al supervisor y se le pone el pie al que no le cae bien.|2023-04-10|Current Employee|Unknown|Desconocida|Empleado
Trabajo muy aburrido|1|Desarrollador De Software|Buen ambiente laboral, ofrece muchas posibilidades de capacitaciones|El proyecto en el que estoy es muy aburrido y no ofrece posibilidades de crecimiento|2023-07-24|Current Employee|Unknown|Desconocida|Empleado
Evaluacion de IBM|3|Especialista en cuentas por cobrar|Excelentes prestaciones, increible campus, oportunidades de crecimiento dentro de la empresa|Tiene una barrera importante de entrada, se necesita ingles para el puesto,|2023-06-07|Current Employee, More Than 1 Year|El Salto, Jalisco|1|Empleado
OK|4|Consultor SAP FI|Buen clima laboral y desarrollo|Falta de oportunidades y capacitacion|2023-06-27|Former Employee|Buenos Aires|Desconocida|Exempleado
La evaluación más objetiva que vas a encontrar|5|Líder técnico sénior|WLB, Sueldo es muy bueno pero tienes que saber negociarlo, prestaciones excelentes, proyectos de todo tipo, muchas oportunidades. Trabajar en IBM es como una gran escuela, pero tu defines sólo tu carrera, no hay un path rígido a seguir y no les gusta a todos. El ambiente laboral en general es muy agradable, pero puede depender del proyecto y gerencia en específico. Es tan buena como tu lo quieras y tan mala como tu lo quieras manejar. Si entras y no te gusta tu proyecto, busca moverte a otro hasta que encuentres el ideal.|Quieren empujar a la gente a subir su profesion o nivel de puesto en base a documentaciones aburridas, la manera de adquirir promotions depende de que tanto des a conocer tu trabajo y tienes que andarte presumiendo tú sólo, cuando el trabajo debería hablar por ti en sí, lo cual hace sentir a mucha gente como si no existiera si son introvertidos, o como si su trabajo y esfuerzo no fuera lo suficientemente bueno para nadie. La impresión de la empresa depende de los gerentes, asi que puede haber mil opiniones diferentes de IBM.|2023-01-31|Current Employee, More Than 5 Years|El Salto, Jalisco|5|Empleado
Muy buen lugar de trabajo|5|Desarrollador web junior|Buenas prestaciones además de que personalmente fue el mejor equipo de trabajo en el que he estado|Remoto en pandemia, pero después regresamos a un esquema híbrido|2023-05-22|Former Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Salario dos tres|4|Desarrollador de Salesforce|Carga de trabajo muy tranqui|Subes de rango muy lento|2023-06-21|Former Employee|Ciudad De Mexico|Desconocida|Exempleado
...|4|Compradora Sr.|Tenemos posibilidad de trabajar en remoto. Tenemos muchos cursos disponibles.|El salario considero que no es de mercado. Se trabajan mas horas que las acordadas|2023-06-01|Current Employee|Unknown|Desconocida|Empleado
Buen ambiente laboral|4|Analista De Back Office|Equipo de trabajo humano excelente|Salario poco competitivo en comparacion con demas empresas.|2023-06-16|Current Employee|Braga|Desconocida|Empleado
Desarrollador Java Semi Senior|5|Desarrollador Java Semi Senior|Buen ambiente laboral, facilidades para certificarse|Algunos clientes trabajan con tecnologías muy viejas|2023-06-13|Current Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Empresa en general|3|Analista|Balance vida - trabajo, buen sueldo.|Pocos beneficios, empresa que se quedó en el tiempo y no avanza. Edificio viejo. No tenemos snacks ni café gratis. Equipo aburrido de trabajo.|2023-05-22|Current Employee, More Than 1 Year|Buenos Aires|1|Empleado
Muy buena|5|cooperativa de estudiantes|Es una excelente experiencia si estás estudiando|Si estás en finnance presencialidad 3 veces x semana|2023-06-10|Current Employee|Buenos Aires|Desconocida|Empleado
Control de Accesos N2|4|Analista|la prestaciones que brinda asi como los seguros visual, dental,|no permite el crecimiento laboral de sus empleados|2023-06-05|Former Employee, More Than 5 Years|Ciudad De Mexico|5|Empleado
Normal|3|ingeniero de software|Todo bien, muy cómodo y fácil|Te estancas y no hay muchas oportunidades de crecer|2023-06-13|Former Employee, More Than 8 Years|Guadalajara, Jalisco|8|Empleado
Buena opción|4|Arquitecto de soluciones|Buenas prestaciones, flexible para trabajar desde casa|Muchos procesos muy burocráticos que hacen que todo sea muy lento|2023-06-05|Former Employee|Ciudad De Mexico|Desconocida|Exempleado
Buena empresa|5|Especialista en pruebas|Buen ambiente de trabajo, muchas vacaciones, oportunidad de crecimiento|Incremento salarial al a;o muy bajo 2%|2023-06-06|Former Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Mi encuesta|5|Técnico de pruebas de fabricación.|Hay muy buen ambiente laboral, la posibilidades de poder crecer profesionalmente y seguir preparandote, los beneficios que te ofrece la empresa por ser empleado, las prestaciones, seguros, etre otros.|Lo que no me gusta, al menos en mi campus, es que es muy marcada la diferencia en cuanto al trato entre las diferentes bandas, de banda 5 en adelante tienen un trato preferente._x000D_ También que para poder subir de puesto o llegar a obtener un mejor sueldo no siempre consideran a los mejores prospectos de acuerdo a su preparación o desempeños en las labores, sino que ascienden a los conocidos o amigos, o alguna persona por intereses ajenos a lo laboral, cuando hay mejores opciones para desempeñar un puesto y no tienen la oportunidad.|2022-10-05|Current Employee, More Than 5 Years|Guadalajara, Jalisco|5|Empleado
Excelente|4|Socio de RR.HH.|Equilibrio Vida personal y laboral|Aumentos bajos, muy dependiente de las decisiones de America del Norte|2023-06-08|Former Employee|Unknown|Desconocida|Exempleado
Empresa con mucha estabilidad|5|Desarrollador ETL|- Ajustes salariales periodicos que mantienen el valor con la inflación - Se cobra por quincena lo cual permite administrar mejor el dinero - Muchas oportunidades de capacitación y certificaciones - Se puede cambiar de proyecto y tecnologías|Habiendo trabajado poco mas de un año con ellos no encontre nada negativo|2023-04-07|Former Employee, More Than 1 Year|Buenos Aires|1|Empleado
Calificacion|3|Analista Contable Senior|Viernex flex Pago internet Flexibilidad|Sueldos por debajo de la media de analista contable|2023-06-09|Current Employee|Munro|Desconocida|Empleado
Buen lugar para trabajar, solo desorganizado.|4|científico de datos|Muy buen ambiente laboral con tus compañeros (y algunos managers), buena relacion entre tu trabajo y vida.|El CIO se siente muy desorganizado desde los managers en EEUU. Empezaron a hacer mucho micro-management.|2023-05-01|Former Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Excelente empresa|5|Reclutador|Sueldo competitivo, paquete de beneficios muy completo, ambiente genial de trabajo, impulso de crecimiento por parte de lideres, muchisimo aprendizaje|Hasta el momento no he encontrado alguna|2023-05-15|Current Employee, More Than 3 Years|Guadalajara, Jalisco|3|Empleado
IBM Mexico|5|DEMANDAR|Buena empresa para empezar vida profesional.|No es muy competitiva en prestaciones.|2023-06-07|Former Employee, Less Than 1 Year|Guadalajara, Jalisco|0|Empleado
Bueno|4|ingeniero de software|Dan muchas aportaciones, vacaciones, y aguinaldo.|Trabajaba mucho y me subían el trabajo sin subirme la paga|2023-06-02|Current Employee|Guadalajara, Jalisco|Desconocida|Empleado
IBM|4|MCP|Aprendizaje, oportunidad de crecimiento, flexibilidad,|Salario medio, micromanagement en algunos departamentos|2023-06-10|Former Employee, More Than 3 Years|Heredia|3|Empleado
