,EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source,AgeStartedWorking
1550,2628,34,1,Non-Travel,Sales,23,Master,Marketing,3,Male,3,1,Laboratory Technician,4,Divorced,2314,0,No,12,4,2,1,4,2,3,3,0,0,2,Seek,30
819,8470,36,0,Non-Travel,Research & Development,24,Master,Life Sciences,2,Female,3,2,Laboratory Technician,2,Married,5674,7,No,15,3,3,1,11,3,3,9,8,0,8,LinkedIn,25
2888,8705,23,1,Travel_Rarely,Research & Development,4,Below college,Medical,3,Female,3,1,Laboratory Technician,2,Single,3295,1,No,13,3,3,0,3,3,1,3,2,1,2,GlassDoor,20
2587,3102,31,1,Travel_Rarely,Research & Development,22,Master,Medical,4,Male,3,1,Sales Representative,4,Single,2644,3,Yes,21,3,4,0,7,3,2,3,2,1,2,Recruit.net,24
1459,1109,32,0,Travel_Frequently,Research & Development,5,College,Life Sciences,3,Female,3,2,Manufacturing Director,2,Married,5228,0,No,15,3,1,1,10,2,3,9,7,0,5,Company Website,22
3332,6614,24,1,Travel_Frequently,Research & Development,2,Below college,Technical Degree,4,Female,2,2,Sales Executive,3,Married,6712,1,No,21,3,4,2,8,2,3,8,7,1,7,LinkedIn,16
1693,7054,50,1,Travel_Rarely,Sales,8,Master,Marketing,3,Female,3,1,Sales Representative,4,Married,2157,1,No,15,3,2,1,3,5,3,3,1,0,2,Indeed,47
1758,3234,20,1,Travel_Rarely,Research & Development,11,Bachelor,Medical,4,Female,2,1,Research Scientist,1,Single,2600,1,Yes,15,3,1,0,1,2,3,1,0,0,0,Seek,19
3364,7262,55,0,Travel_Rarely,Research & Development,2,Master,Life Sciences,4,Female,2,1,Research Scientist,2,Divorced,3291,3,No,14,3,4,2,8,3,1,5,4,0,4,Jora,47
1945,6541,55,0,Travel_Rarely,Research & Development,8,Bachelor,Medical,3,Female,3,3,Manufacturing Director,3,Married,6132,1,No,17,3,3,0,10,3,2,9,7,1,7,LinkedIn,45
2669,3238,44,0,Travel_Rarely,Research & Development,7,Bachelor,Medical,4,Male,3,2,Sales Executive,1,Single,5332,7,No,13,3,4,0,10,3,3,5,2,0,3,Recruit.net,34
2796,7062,38,0,Travel_Rarely,Research & Development,18,Bachelor,Medical,4,Female,3,2,Sales Executive,4,Married,5476,1,No,11,3,1,2,10,2,3,10,0,0,2,Adzuna,28
2091,8972,46,0,Travel_Rarely,Research & Development,2,Master,Technical Degree,4,Male,3,2,Manufacturing Director,4,Divorced,7379,2,No,11,3,3,1,12,3,2,6,3,1,4,Adzuna,34
1700,7015,53,0,Travel_Rarely,Sales,2,College,Medical,3,Male,3,4,Manager,3,Divorced,14852,6,No,13,3,3,1,22,3,4,17,13,15,2,Referral,31
2189,5433,54,1,Travel_Rarely,Research & Development,5,College,Medical,3,Male,2,2,Human Resources,2,Married,4490,4,No,11,3,4,2,14,5,4,10,9,1,8,Indeed,40
2348,3766,52,0,Travel_Frequently,Research & Development,25,Master,Medical,3,Female,4,4,Manufacturing Director,3,Married,13247,2,Yes,11,3,2,1,24,3,2,5,3,0,2,Company Website,28
346,5683,30,1,Travel_Rarely,Sales,4,College,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,1,Yes,12,3,2,3,11,4,2,11,8,2,7,Seek,19
519,5406,27,1,Travel_Rarely,Research & Development,17,Bachelor,Technical Degree,3,Male,3,1,Research Scientist,2,Married,3058,0,Yes,16,3,4,1,6,3,2,5,2,1,1,Adzuna,21
2350,2184,28,1,Travel_Rarely,Human Resources,8,College,Medical,3,Female,2,2,Research Scientist,3,Single,4081,1,Yes,14,3,1,0,20,3,1,20,7,1,8,Company Website,8
2507,8707,28,1,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,2,1,Research Scientist,3,Divorced,1563,1,No,14,3,4,1,1,2,1,1,0,0,0,Adzuna,27
1966,6233,28,1,Travel_Rarely,Research & Development,2,Below college,Life Sciences,1,Male,2,1,Research Scientist,2,Married,3201,0,No,17,3,1,0,6,2,1,5,3,0,4,Seek,22
3221,4444,38,0,Travel_Rarely,Research & Development,1,Bachelor,Technical Degree,4,Male,2,2,Manufacturing Director,4,Single,9679,8,No,24,3,2,0,8,1,3,1,0,0,0,Adzuna,30
3201,3870,34,0,Travel_Rarely,Sales,1,Bachelor,Marketing,1,Male,3,3,Sales Executive,4,Single,9888,1,No,21,3,1,0,14,3,2,14,8,2,1,Company Website,20
2403,1127,46,1,Travel_Rarely,Research & Development,7,College,Medical,3,Male,2,1,Sales Representative,1,Married,4400,3,No,12,4,1,0,6,2,3,3,2,2,2,Company Website,40
1199,2509,37,1,Travel_Rarely,Sales,2,Bachelor,Marketing,4,Male,3,2,Sales Executive,3,Married,9602,4,Yes,11,3,3,1,17,3,2,3,0,1,0,Seek,20
2705,2770,39,0,Travel_Rarely,Research & Development,3,College,Medical,3,Male,2,2,Laboratory Technician,3,Divorced,3069,0,No,15,3,4,1,11,3,3,10,8,0,7,LinkedIn,28
1301,4556,38,0,Travel_Rarely,Research & Development,1,Master,Life Sciences,2,Female,4,2,Healthcare Representative,4,Single,7625,1,Yes,17,4,3,0,9,0,3,9,0,0,7,Recruit.net,29
692,7643,29,1,Travel_Rarely,Sales,10,Bachelor,Life Sciences,1,Male,2,2,Manufacturing Director,1,Married,5957,6,No,13,3,2,1,13,3,3,11,9,5,9,Indeed,16
2116,1788,37,0,Non-Travel,Research & Development,1,Master,Medical,3,Female,2,3,Sales Executive,4,Married,10377,4,Yes,11,4,2,1,16,6,2,13,2,4,12,Seek,21
2731,6796,45,0,Travel_Rarely,Research & Development,12,Bachelor,Medical,4,Female,2,3,Manufacturing Director,3,Married,7756,0,Yes,16,3,2,0,4,2,3,3,2,1,2,Adzuna,41
58,9055,38,0,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,3,Male,3,1,Laboratory Technician,4,Married,2097,4,No,15,3,3,1,9,3,1,5,3,1,4,Indeed,29
2001,9079,35,1,Travel_Rarely,Human Resources,8,Master,Medical,3,Male,3,1,Human Resources,3,Single,4323,0,No,17,3,2,0,6,2,1,5,4,1,4,LinkedIn,29
2248,3895,39,0,Travel_Rarely,Research & Development,18,College,Medical,1,Male,3,2,Manufacturing Director,3,Single,4534,6,Yes,25,4,3,1,7,2,3,6,5,1,2,Indeed,32
1552,3640,46,1,Travel_Frequently,Sales,5,Master,Marketing,3,Male,2,2,Sales Executive,1,Married,4256,1,No,12,3,1,0,5,1,4,5,2,0,3,Seek,41
2533,5628,41,1,Travel_Rarely,Sales,6,Bachelor,Marketing,2,Female,3,3,Manufacturing Director,2,Single,8376,9,No,14,3,1,0,4,3,3,2,2,2,0,Jora,37
686,5976,28,1,Travel_Rarely,Research & Development,1,College,Life Sciences,1,Male,4,5,Manager,4,Married,19202,0,No,11,3,3,1,25,2,3,24,0,1,7,Company Website,3
1115,3249,54,0,Travel_Rarely,Research & Development,1,Bachelor,Medical,1,Female,3,4,Research Director,4,Single,17328,1,No,19,3,4,0,29,3,2,20,7,12,7,Seek,25
2885,8557,30,1,Travel_Rarely,Research & Development,1,College,Medical,4,Male,2,2,Sales Executive,1,Divorced,6134,5,Yes,13,3,2,3,16,3,3,2,2,2,2,Recruit.net,14
1831,6601,45,0,Non-Travel,Sales,26,Bachelor,Marketing,3,Male,4,2,Sales Executive,4,Divorced,9725,0,No,11,3,4,1,16,2,2,15,1,0,9,Company Website,29
3177,6259,30,0,Travel_Frequently,Research & Development,4,Bachelor,Technical Degree,4,Female,2,2,Research Scientist,2,Divorced,2133,1,Yes,16,3,3,1,20,3,3,20,11,0,7,Jora,10
2185,8844,36,1,Travel_Rarely,Sales,2,College,Medical,3,Male,3,1,Laboratory Technician,3,Single,2154,0,Yes,11,3,3,0,5,2,2,4,2,0,2,GlassDoor,31
745,3378,55,0,Travel_Rarely,Research & Development,2,Bachelor,Human Resources,4,Male,3,5,Research Director,1,Married,19038,8,No,12,3,2,3,34,2,3,1,0,0,0,Indeed,21
3025,2326,47,0,Travel_Rarely,Research & Development,4,Bachelor,Life Sciences,3,Female,2,3,Manufacturing Director,2,Divorced,10333,8,Yes,12,3,3,1,28,4,3,22,11,14,10,Jora,19
3236,7816,59,1,Travel_Rarely,Sales,1,College,Technical Degree,4,Female,1,1,Laboratory Technician,4,Divorced,1129,1,Yes,11,3,3,3,1,4,3,1,0,0,0,Jora,58
1139,1981,18,1,Travel_Frequently,Sales,5,Bachelor,Marketing,2,Male,3,1,Sales Representative,2,Single,1878,1,Yes,14,4,4,0,0,3,3,0,0,0,0,Jora,18
877,8179,38,0,Travel_Rarely,Sales,3,Master,Life Sciences,2,Female,3,3,Healthcare Representative,1,Married,9985,8,No,16,3,1,1,10,1,2,1,0,0,0,Company Website,28
1839,7648,36,0,Travel_Rarely,Research & Development,15,Bachelor,Other,1,Male,3,2,Laboratory Technician,3,Divorced,4834,7,No,14,3,2,1,9,3,2,1,0,0,0,Company Website,27
11,3237,37,1,Travel_Rarely,Research & Development,2,College,Life Sciences,4,Male,2,1,Laboratory Technician,3,Single,2090,1,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,30
3181,1861,42,0,Travel_Frequently,Research & Development,28,Master,Technical Degree,4,Female,4,1,Research Scientist,3,Single,2432,3,Yes,14,3,1,0,8,2,3,4,1,0,3,Recruit.net,34
1858,6256,31,1,Travel_Frequently,Sales,7,Master,Marketing,3,Male,3,5,Research Director,4,Divorced,19627,9,No,17,3,4,2,23,0,3,2,2,2,2,Indeed,8
800,1645,44,0,Travel_Rarely,Research & Development,9,College,Life Sciences,2,Female,3,4,Sales Executive,2,Married,13525,5,No,14,3,4,1,23,2,4,20,4,4,8,Company Website,21
834,3828,35,0,Travel_Rarely,Sales,3,Master,Life Sciences,2,Male,3,1,Research Scientist,4,Divorced,2695,0,Yes,18,3,2,1,3,2,1,2,2,2,2,Company Website,32
450,1925,36,0,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,1,Male,2,2,Sales Executive,3,Married,8639,2,No,18,3,4,0,6,3,3,2,2,2,2,Indeed,30
7,6835,59,0,Non-Travel,Human Resources,2,Master,Life Sciences,1,Male,2,2,Research Scientist,2,Married,5130,2,No,23,4,4,1,16,3,2,14,8,6,9,Seek,43
902,2369,41,0,Travel_Rarely,Research & Development,6,Bachelor,Medical,4,Male,2,2,Manufacturing Director,2,Single,6032,6,Yes,15,3,4,0,8,3,3,5,4,1,2,Recruit.net,33
452,3907,47,0,Non-Travel,Research & Development,29,Master,Life Sciences,1,Male,3,2,Human Resources,4,Married,6347,0,Yes,19,3,4,0,12,2,1,11,9,4,7,Seek,35
1416,6937,29,1,Travel_Rarely,Research & Development,27,Bachelor,Medical,2,Female,3,2,Healthcare Representative,3,Married,4335,4,No,12,3,1,1,11,3,2,8,7,1,1,LinkedIn,18
3019,7422,34,0,Travel_Rarely,Sales,8,College,Technical Degree,2,Male,4,2,Sales Executive,3,Married,6799,1,No,21,3,3,2,10,5,3,10,8,4,8,LinkedIn,24
879,6667,50,0,Non-Travel,Sales,1,Bachelor,Life Sciences,2,Male,3,2,Research Scientist,4,Married,3697,9,No,14,3,1,2,12,3,3,10,9,9,8,Company Website,38
2390,3733,34,0,Travel_Frequently,Research & Development,1,Master,Other,4,Male,3,1,Research Scientist,1,Divorced,2996,5,No,14,4,3,2,10,2,3,4,3,1,3,Recruit.net,24
1668,1677,36,0,Travel_Rarely,Research & Development,2,Master,Medical,3,Male,3,1,Laboratory Technician,3,Single,2519,4,No,21,3,3,0,16,6,3,11,8,3,9,Company Website,20
2373,6461,48,0,Travel_Rarely,Research & Development,20,Master,Medical,3,Male,2,2,Laboratory Technician,1,Single,4284,3,No,20,3,1,0,20,2,3,4,3,1,3,LinkedIn,28
2182,5179,34,0,Travel_Frequently,Research & Development,19,Bachelor,Medical,3,Female,3,2,Laboratory Technician,2,Divorced,4444,4,No,13,3,3,2,15,2,4,11,8,5,10,Adzuna,19
3122,5476,19,1,Travel_Frequently,Sales,1,Below college,Life Sciences,2,Female,4,2,Laboratory Technician,3,Single,6500,4,No,14,3,2,0,16,3,2,14,8,6,9,Seek,3
2174,2617,46,0,Travel_Rarely,Sales,4,College,Marketing,4,Female,2,5,Manager,2,Married,18789,2,No,14,3,3,1,26,2,3,11,4,0,8,Adzuna,20
134,6133,43,0,Travel_Rarely,Research & Development,6,Master,Other,2,Female,4,3,Manufacturing Director,1,Divorced,9980,4,Yes,14,3,3,1,21,3,2,1,0,0,0,Recruit.net,22
1369,7742,23,1,Travel_Rarely,Research & Development,9,Below college,Medical,2,Male,3,1,Laboratory Technician,1,Married,2500,1,No,14,3,4,1,5,2,4,4,3,0,2,Company Website,18
2166,4688,37,0,Travel_Rarely,Research & Development,6,Bachelor,Medical,3,Male,3,1,Research Scientist,4,Single,2875,1,Yes,20,3,2,0,8,2,2,8,5,2,2,Adzuna,29
2949,8046,53,0,Non-Travel,Research & Development,1,Master,Medical,1,Female,2,4,Manufacturing Director,3,Married,12965,4,Yes,20,3,4,3,27,2,2,3,2,0,2,Indeed,26
232,3491,32,1,Travel_Frequently,Research & Development,16,Below college,Life Sciences,1,Male,3,3,Sales Executive,3,Single,8726,1,No,15,3,4,0,9,0,3,9,8,1,7,Indeed,23
1685,5828,33,1,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,2,Female,2,2,Healthcare Representative,4,Single,6949,0,No,14,3,1,0,6,3,3,5,0,1,4,Adzuna,27
3169,6722,39,0,Travel_Rarely,Research & Development,9,College,Medical,1,Male,3,2,Manufacturing Director,1,Married,5151,5,No,15,3,4,0,13,2,2,11,7,1,7,Jora,26
2951,8926,43,0,Travel_Rarely,Human Resources,2,Bachelor,Life Sciences,2,Male,3,1,Human Resources,4,Single,3539,0,No,13,3,2,0,10,5,3,9,7,1,8,Jora,33
556,1373,25,1,Travel_Rarely,Sales,4,College,Life Sciences,1,Female,3,5,Manager,3,Married,19033,1,No,14,3,2,1,21,2,3,20,8,9,9,Adzuna,4
631,3447,45,0,Non-Travel,Sales,6,Bachelor,Medical,4,Female,2,3,Sales Executive,4,Single,8865,6,No,12,3,4,0,23,2,3,19,7,12,8,Company Website,22
2302,9627,27,1,Travel_Frequently,Sales,2,Below college,Life Sciences,4,Male,1,2,Sales Executive,4,Single,5071,3,No,20,3,2,0,8,3,3,6,2,0,0,LinkedIn,19
2232,2482,30,1,Travel_Rarely,Research & Development,6,Bachelor,Marketing,1,Female,2,2,Laboratory Technician,4,Married,17924,1,No,11,3,2,1,9,3,3,4,2,1,3,Jora,21
1103,7224,33,1,Travel_Frequently,Sales,5,Below college,Life Sciences,2,Female,3,3,Human Resources,1,Divorced,9950,0,Yes,15,3,3,3,11,2,3,3,2,0,2,LinkedIn,22
385,7897,25,1,Travel_Rarely,Research & Development,7,Below college,Medical,4,Male,2,1,Research Scientist,4,Married,2889,1,No,11,3,3,2,2,2,3,2,2,2,1,Company Website,23
2911,4628,40,1,Travel_Rarely,Research & Development,2,Master,Medical,4,Female,1,1,Sales Representative,2,Single,2760,1,No,13,3,3,0,2,3,3,2,2,2,2,Company Website,38
2990,4088,36,0,Travel_Rarely,Research & Development,1,Bachelor,Other,4,Male,4,2,Healthcare Representative,1,Married,5538,5,No,18,3,3,2,10,2,2,0,0,0,0,Company Website,26
2411,2196,47,0,Travel_Rarely,Research & Development,2,Master,Medical,1,Female,3,4,Research Director,3,Married,17169,3,No,19,3,2,2,26,2,4,20,17,5,6,Indeed,21
2208,5675,30,0,Non-Travel,Research & Development,2,Bachelor,Medical,3,Female,3,1,Laboratory Technician,3,Divorced,3339,3,Yes,13,3,1,2,10,2,3,7,7,7,7,GlassDoor,20
1316,2228,40,0,Travel_Frequently,Sales,5,Master,Life Sciences,4,Male,2,3,Sales Executive,1,Married,10475,6,No,13,4,2,1,13,3,3,8,7,0,7,Indeed,27
2334,8474,37,0,Travel_Rarely,Research & Development,4,Below college,Life Sciences,3,Male,3,1,Research Scientist,3,Married,2996,7,Yes,15,3,4,0,8,2,3,6,4,1,3,Recruit.net,29
2137,4416,49,1,Travel_Rarely,Research & Development,4,College,Medical,1,Male,2,5,Manager,3,Married,18711,2,No,13,3,3,1,23,2,4,1,0,0,0,Company Website,26
94,1485,27,1,Travel_Rarely,Research & Development,6,Master,Medical,4,Female,2,2,Laboratory Technician,3,Single,4193,0,No,12,4,3,2,6,5,2,5,3,0,3,Recruit.net,21
1797,7178,35,1,Travel_Frequently,Sales,18,Master,Marketing,3,Female,1,2,Healthcare Representative,2,Married,4777,5,No,15,3,1,0,15,2,1,1,0,0,0,Adzuna,20
1338,3094,41,0,Travel_Rarely,Human Resources,1,Bachelor,Human Resources,4,Male,2,5,Manager,3,Married,19189,1,No,13,3,1,1,9,3,3,9,7,7,2,Jora,32
2974,4035,37,0,Travel_Rarely,Human Resources,8,College,Other,3,Male,3,2,Human Resources,2,Divorced,4071,2,No,13,3,3,0,19,4,2,10,0,4,7,Adzuna,18
627,4604,30,1,Travel_Frequently,Sales,26,Master,Marketing,3,Female,2,2,Sales Executive,1,Single,6696,5,No,15,4,3,0,9,5,2,6,3,0,1,Seek,21
1327,4113,47,1,Travel_Frequently,Sales,9,Bachelor,Life Sciences,2,Male,3,2,Sales Executive,1,Single,5405,8,No,14,3,4,0,10,1,3,2,2,2,2,Indeed,37
1070,4028,40,0,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,2,Male,2,4,Manager,3,Married,17046,0,No,15,3,2,1,28,2,3,27,10,15,7,LinkedIn,12
265,9365,35,1,Travel_Rarely,Research & Development,23,Master,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,3,1,4,3,3,2,2,2,2,Seek,31
1521,4102,53,1,Travel_Rarely,Sales,7,College,Marketing,1,Female,2,3,Sales Executive,4,Married,10934,7,Yes,18,3,4,1,35,3,3,5,2,0,4,Indeed,18
2292,2688,23,1,Travel_Rarely,Research & Development,9,Below college,Medical,3,Female,4,2,Sales Executive,1,Married,4639,2,No,16,3,4,1,17,2,2,15,7,6,13,Seek,6
3059,5270,42,0,Non-Travel,Research & Development,10,Master,Technical Degree,3,Male,3,1,Research Scientist,3,Married,2936,3,No,22,3,2,2,10,1,2,6,3,3,3,Indeed,32
306,9244,31,1,Travel_Rarely,Research & Development,1,Master,Human Resources,3,Male,3,1,Research Scientist,2,Single,2501,2,No,17,3,2,0,1,4,3,1,1,1,0,LinkedIn,30
3205,8071,26,1,Travel_Rarely,Research & Development,1,Bachelor,Medical,3,Male,3,1,Laboratory Technician,1,Single,2867,0,No,13,3,4,0,8,6,2,7,7,7,6,Company Website,18
1594,3644,29,1,Travel_Rarely,Research & Development,7,Below college,Medical,1,Female,2,1,Laboratory Technician,4,Divorced,2532,6,No,14,4,3,3,8,5,3,4,3,0,3,Recruit.net,21
2875,4637,26,1,Travel_Rarely,Research & Development,1,Bachelor,Medical,4,Male,3,2,Healthcare Representative,2,Single,5562,6,No,14,3,4,0,19,3,3,10,7,0,9,GlassDoor,7
1947,8270,35,0,Travel_Frequently,Research & Development,1,Bachelor,Medical,3,Male,3,4,Manager,3,Married,17465,3,No,12,3,4,1,23,3,3,12,9,4,9,Recruit.net,12
2701,1201,39,1,Travel_Frequently,Research & Development,4,Bachelor,Medical,4,Male,3,1,Research Scientist,4,Single,3117,1,No,18,3,3,0,3,2,3,2,2,2,2,Recruit.net,36
86,2006,58,0,Non-Travel,Research & Development,1,Master,Life Sciences,1,Male,4,1,Laboratory Technician,2,Married,2426,2,No,17,3,3,0,10,2,3,1,0,0,0,Company Website,48
2240,5618,40,1,Travel_Rarely,Sales,25,Master,Marketing,4,Male,2,3,Sales Executive,2,Single,9094,2,Yes,12,3,3,0,9,2,3,5,4,1,0,Seek,31
3138,6933,32,1,Travel_Rarely,Research & Development,2,Below college,Technical Degree,4,Female,3,2,Sales Executive,4,Divorced,6583,2,Yes,11,3,4,1,8,2,3,5,2,1,4,Seek,24
2226,7994,32,1,Travel_Rarely,Research & Development,7,College,Life Sciences,4,Male,3,2,Laboratory Technician,3,Married,2693,1,No,19,3,1,0,1,3,2,1,0,0,0,Company Website,31
277,1512,38,0,Travel_Frequently,Research & Development,29,Doctor,Life Sciences,4,Female,2,1,Human Resources,1,Married,2342,0,No,21,4,4,0,10,2,3,10,3,9,9,Company Website,28
2527,5564,44,0,Travel_Rarely,Research & Development,28,Bachelor,Life Sciences,4,Male,3,4,Research Director,1,Married,16328,3,No,13,4,3,1,24,1,4,20,6,14,17,LinkedIn,20
416,5102,56,0,Travel_Rarely,Research & Development,14,Master,Medical,2,Female,3,1,Research Scientist,3,Single,2479,2,No,24,4,1,0,7,2,3,5,4,4,3,LinkedIn,49
1666,9216,41,0,Travel_Rarely,Research & Development,6,Bachelor,Medical,4,Male,3,1,Laboratory Technician,1,Single,4721,2,Yes,13,3,3,0,20,3,3,18,13,2,17,GlassDoor,21
248,1184,35,1,Travel_Rarely,Research & Development,8,Below college,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,9,Yes,13,3,4,0,23,2,3,1,0,0,0,Referral,12
3020,3559,38,0,Travel_Frequently,Research & Development,3,Master,Other,4,Male,4,2,Sales Executive,3,Married,6799,1,No,21,3,3,2,10,5,3,10,8,4,8,LinkedIn,28
68,4662,45,0,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,1,Male,2,3,Manufacturing Director,3,Single,9526,3,No,21,4,4,2,8,3,2,2,2,0,2,Recruit.net,37
3363,7874,55,1,Travel_Rarely,Research & Development,2,Master,Life Sciences,4,Female,2,1,Research Scientist,1,Single,3785,2,No,14,3,2,0,5,3,1,5,4,0,4,Jora,50
1237,8464,36,0,Travel_Rarely,Research & Development,12,Master,Life Sciences,2,Male,3,1,Research Scientist,4,Married,2691,1,No,12,4,4,1,10,4,2,10,9,8,8,Company Website,26
2239,3689,50,0,Travel_Rarely,Research & Development,28,Bachelor,Life Sciences,4,Female,3,4,Research Director,1,Married,16880,4,Yes,11,3,2,0,25,2,3,3,2,1,2,Recruit.net,25
48,6386,36,0,Travel_Rarely,Research & Development,3,Bachelor,Technical Degree,4,Male,3,1,Laboratory Technician,3,Divorced,2693,4,No,12,3,4,0,10,2,3,8,0,7,7,Company Website,26
681,4163,41,0,Travel_Rarely,Research & Development,19,College,Life Sciences,3,Male,3,2,Research Scientist,1,Divorced,3072,2,No,16,4,1,2,17,2,2,1,0,0,0,Company Website,24
1234,9721,53,0,Travel_Rarely,Sales,1,Below college,Medical,4,Female,3,2,Sales Executive,1,Single,8381,7,No,20,4,4,0,18,2,4,14,7,8,10,Company Website,35
2937,1905,43,0,Travel_Frequently,Research & Development,17,Bachelor,Technical Degree,3,Male,2,1,Research Scientist,3,Married,2437,9,Yes,16,3,4,1,6,4,3,1,0,0,0,GlassDoor,37
976,8575,30,1,Travel_Rarely,Sales,29,Master,Life Sciences,2,Male,3,1,Sales Representative,2,Married,2476,1,No,18,3,1,1,1,3,3,1,0,0,0,Seek,29
1145,6628,26,1,Travel_Rarely,Sales,29,College,Medical,1,Male,3,2,Sales Executive,3,Divorced,4306,5,No,12,3,1,2,8,5,3,0,0,0,0,Seek,18
1744,5468,24,1,Travel_Rarely,Research & Development,17,Below college,Medical,4,Female,2,2,Manufacturing Director,3,Divorced,4377,1,No,15,3,2,2,5,6,3,4,2,3,2,Adzuna,19
3029,2448,54,0,Travel_Rarely,Research & Development,7,Master,Medical,4,Female,3,2,Research Scientist,4,Married,6854,4,No,15,3,2,1,14,2,2,7,1,1,7,Recruit.net,40
281,4859,36,0,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,7,No,11,3,4,0,28,3,2,21,16,7,9,Adzuna,8
2952,1082,29,1,Travel_Rarely,Research & Development,9,Doctor,Other,4,Male,3,1,Human Resources,4,Single,3539,0,No,13,3,2,0,10,5,3,9,7,1,8,Jora,19
2738,9769,40,0,Travel_Rarely,Research & Development,16,Bachelor,Life Sciences,3,Female,3,3,Manufacturing Director,4,Single,7945,6,Yes,15,3,4,0,18,2,2,4,2,3,3,Jora,22
1020,6499,25,1,Travel_Frequently,Sales,24,Below college,Life Sciences,2,Female,3,2,Sales Executive,3,Single,6577,0,No,11,3,2,0,6,6,3,5,4,4,4,GlassDoor,19
309,3896,37,0,Non-Travel,Research & Development,2,College,Life Sciences,1,Male,3,1,Human Resources,3,Married,3600,0,No,13,3,2,2,10,3,3,10,4,0,9,Recruit.net,27
1681,8478,38,0,Travel_Rarely,Sales,7,Master,Marketing,3,Female,3,2,Manufacturing Director,1,Married,6725,1,No,12,4,3,1,8,2,4,8,7,6,3,Company Website,30
510,3426,54,0,Travel_Frequently,Research & Development,20,Master,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2451,4,No,12,3,1,1,13,2,3,9,8,1,8,LinkedIn,41
972,9804,55,0,Travel_Rarely,Research & Development,2,Master,Life Sciences,3,Female,3,1,Research Scientist,4,Married,2662,8,No,20,4,2,1,19,2,4,5,2,0,4,Seek,36
2364,9285,35,0,Travel_Frequently,Research & Development,18,College,Life Sciences,3,Male,3,3,Manufacturing Director,4,Single,9362,2,No,11,3,3,0,10,2,3,2,2,2,2,GlassDoor,25
697,1945,53,0,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,1,Male,4,2,Manufacturing Director,3,Married,6434,4,No,17,3,4,1,9,1,3,3,2,0,2,LinkedIn,44
2034,1137,29,1,Travel_Rarely,Research & Development,6,Below college,Medical,2,Female,3,1,Laboratory Technician,4,Married,3131,1,No,13,3,1,1,10,5,3,10,8,0,8,Jora,19
3101,3013,31,0,Travel_Rarely,Research & Development,20,Bachelor,Life Sciences,2,Male,3,2,Laboratory Technician,3,Divorced,4197,1,No,11,3,1,1,10,2,3,10,8,0,2,Company Website,21
187,3185,32,1,Travel_Frequently,Research & Development,16,Below college,Medical,2,Female,1,1,Research Scientist,1,Single,3919,3,Yes,22,3,2,0,10,5,3,10,2,6,7,Company Website,22
2349,5209,43,0,Travel_Rarely,Research & Development,6,Bachelor,Medical,1,Female,2,2,Research Scientist,3,Single,4081,1,Yes,14,3,1,0,20,3,1,20,7,1,8,Company Website,23
612,9756,41,1,Non-Travel,Sales,10,College,Life Sciences,1,Male,2,2,Healthcare Representative,4,Married,4876,9,No,14,3,4,1,5,5,1,3,2,0,2,Indeed,36
990,2939,25,1,Travel_Rarely,Sales,10,Master,Life Sciences,2,Female,3,1,Laboratory Technician,1,Divorced,2576,3,No,16,3,2,1,8,5,3,5,2,1,2,Seek,17
394,5008,24,1,Travel_Rarely,Research & Development,18,Below college,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,2774,0,No,12,3,3,1,6,2,3,5,3,1,2,Adzuna,18
2458,3252,44,0,Travel_Rarely,Human Resources,1,College,Medical,4,Male,3,2,Healthcare Representative,3,Married,6651,2,No,14,3,2,1,20,0,2,3,2,1,2,Recruit.net,24
142,4212,51,0,Travel_Frequently,Research & Development,1,Master,Medical,1,Male,4,1,Research Scientist,2,Divorced,3298,3,No,20,3,3,0,23,1,2,13,12,12,8,Seek,28
1366,7717,29,1,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,2,Male,2,2,Sales Executive,4,Married,6804,3,No,18,3,3,1,7,5,3,2,2,2,2,Adzuna,22
